k,seed,inertia,silhouette,davies_bouldin,calinski_harabasz,mean_pairwise_ari
9,73,8479.083984375,0.043807730078697205,4.211641064907509,22.06747055053711,0.21148194539135406
9,101,8461.1982421875,0.03331789746880531,3.2824138469740567,24.01093101501465,0.21148194539135406
9,2026,8395.5,0.055052850395441055,3.4038471568111617,24.969924926757812,0.21148194539135406
10,13,8296.796875,0.0413493886590004,2.6198447204784023,24.345882415771484,0.3322907453215118
10,37,8347.37890625,0.04263398051261902,2.8357982635298256,23.882946014404297,0.3322907453215118
10,73,8339.5546875,0.0719917044043541,3.0817957566771272,25.74823570251465,0.3322907453215118
10,101,8359.123046875,0.03912641108036041,3.1908348729481646,23.81667709350586,0.3322907453215118
10,2026,8289.2890625,0.07206756621599197,3.980670113741504,26.71540641784668,0.3322907453215118
11,13,8178.47314453125,0.08281770348548889,2.429549953770527,27.898109436035156,0.24974283934783373
11,37,8351.9990234375,0.051543962210416794,3.373452910793252,19.56133460998535,0.24974283934783373
11,73,8266.0849609375,0.07194578647613525,3.906687291288607,24.961271286010742,0.24974283934783373
11,101,8303.982421875,0.04456965997815132,3.4325976132112817,23.028301239013672,0.24974283934783373
11,2026,8240.6005859375,0.0675249695777893,3.8197926123337678,25.727357864379883,0.24974283934783373
12,13,8166.3427734375,0.07347572594881058,3.759303109345449,24.47806739807129,0.20786206080350395
12,37,8252.974609375,0.06127454340457916,3.1519736584644638,22.26018524169922,0.20786206080350395
12,73,8267.9833984375,0.02960401214659214,3.918619934336206,22.06975555419922,0.20786206080350395
12,101,8234.552734375,0.05072062462568283,3.308199038153895,22.69914436340332,0.20786206080350395
12,2026,8200.158203125,0.059549469500780106,3.353838065160703,22.971193313598633,0.20786206080350395
13,13,8069.4990234375,0.07458214461803436,2.6455033881832315,25.24312973022461,0.2774708638440626
13,37,8092.0498046875,0.04692843556404114,2.4021597215613983,26.131433486938477,0.2774708638440626
13,73,8095.1171875,0.07180692255496979,3.348909531017896,24.71516990661621,0.2774708638440626
13,101,8209.1845703125,0.04426795244216919,1.8478976152462094,21.036840438842773,0.2774708638440626
13,2026,8249.64453125,0.0537441149353981,3.7705173348902807,21.32649040222168,0.2774708638440626
14,13,8105.806640625,0.0680670365691185,3.2351805136957403,22.302350997924805,0.27886010897871516
14,37,8112.921875,0.06888771802186966,3.6036171555558636,21.22565460205078,0.27886010897871516
14,73,8112.6494140625,0.06644837558269501,3.5034817508007388,23.35113525390625,0.27886010897871516
14,101,8067.91357421875,0.06488972157239914,3.0019997252510255,22.5400390625,0.27886010897871516
14,2026,8041.578125,0.06746377050876617,3.014197048071862,22.85602378845215,0.27886010897871516
15,13,8052.26953125,0.04565126821398735,2.372360001098171,23.215185165405273,0.2258838282046464
15,37,8053.2919921875,0.09378175437450409,3.6868021165885088,22.42523193359375,0.2258838282046464
15,73,7996.00146484375,0.057983655482530594,2.656336484972583,23.410551071166992,0.2258838282046464
15,101,8037.7578125,0.06875733286142349,2.959509785347493,21.78964614868164,0.2258838282046464
15,2026,7880.7470703125,0.07845810800790787,3.795170674311513,25.928598403930664,0.2258838282046464
