model,k,users,precision,recall_hit_rate,ndcg,mrr,catalog_coverage,precision_ci_low,precision_ci_high,recall_hit_rate_ci_low,recall_hit_rate_ci_high,ndcg_ci_low,ndcg_ci_high,mrr_ci_low,mrr_ci_high
Ingredient Jaccard,10,80889,0.011264819691181743,0.11264819691181743,0.0806656139914365,0.07059569875002135,0.9680755395683454,0.011087972406631312,0.011499060440851043,0.11087972406631309,0.11499060440851043,0.07902501190252105,0.08274730402071233,0.069033447535492,0.07249026038916351
Ingredient Jaccard,20,80889,0.006438452694433112,0.12876905388866225,0.08474867156426627,0.07171984738747195,0.9824640287769785,0.0063283635599401655,0.006549623558209398,0.1265672711988033,0.13099247116418797,0.08335132739499214,0.08658951259053269,0.07040919344403518,0.07354001002050824
BM25 Ingredient,5,80889,0.021760684394664293,0.10880342197332146,0.08461342982433123,0.07657798546980017,0.9307553956834532,0.02134913276218027,0.022184227768917902,0.10674566381090136,0.1109211388445895,0.08297116273904057,0.08622233853747059,0.07510525741036068,0.07815094862507056
BM25 Ingredient,10,80889,0.012794075832313418,0.12794075832313417,0.09070963436434976,0.0790427927198687,0.9766187050359713,0.012591267044962853,0.013045438811210425,0.1259126704496285,0.13045438811210425,0.08902817441035013,0.09252381505885694,0.07745199709792393,0.08078414604807253
BM25 Ingredient,20,80889,0.0074762946754194015,0.14952589350838805,0.09614082953796883,0.0805201040209234,0.9892086330935251,0.007353858373820915,0.007594991284352633,0.1470771674764183,0.15189982568705263,0.09451196442986441,0.09791170516261481,0.0790069451180724,0.08221866497186434
TF-IDF Ingredient,5,80889,0.02165931090753996,0.1082965545376998,0.08081827888965365,0.07164509389410179,0.9613309352517986,0.02123459308435016,0.022060416125802028,0.1061729654217508,0.11030208062901013,0.07922494492042621,0.08228790642736891,0.0701882672551274,0.07298100895465803
TF-IDF Ingredient,10,80889,0.01247882901259751,0.1247882901259751,0.08616954408870384,0.07386624468922433,0.9878597122302158,0.012293204267576557,0.012701788871169134,0.12293204267576556,0.12701788871169134,0.08471642534019048,0.08785032332403546,0.0725089345687712,0.07547766197142194
TF-IDF Ingredient,20,80889,0.00749051168885757,0.1498102337771514,0.09253221522523368,0.07563096244577569,0.9914568345323741,0.007382895078440826,0.007607601157141268,0.14765790156881653,0.15215202314282533,0.09102265385890215,0.09428057557682368,0.07428162280195238,0.07728499001439322
Item-kNN,5,80889,0.03482797413739816,0.17413987068699083,0.1257294124318059,0.109357679453737,0.8322841726618705,0.03439472610614547,0.03540061071344682,0.1719736305307273,0.17700305356723411,0.12399229254288083,0.12784580546702914,0.10774501683376807,0.11133908298202885
Item-kNN,10,80889,0.020999146979193712,0.20999146979193709,0.1370636439407911,0.11388810396061072,0.8763489208633094,0.020676482587249193,0.021265252382895082,0.20676482587249193,0.2126525238289508,0.1350811632033783,0.13917415122726173,0.11217986736968767,0.11579276517379196
Item-kNN,20,80889,0.012498609205207135,0.2499721841041427,0.14711985988242585,0.11662146351791283,0.8866906474820144,0.012364922919061924,0.012661254929594879,0.24729845838123848,0.25322509859189757,0.14546439493344054,0.14920381404009792,0.11493391407518447,0.11838159510204693
SVD,5,80889,0.026671117210003835,0.13335558605001915,0.09664497203137133,0.08434356546213537,0.18480215827338128,0.02621363844280434,0.027205862354584675,0.1310681922140217,0.1360293117729234,0.09502507062630232,0.09857198865173968,0.0828941048844713,0.08605826090898225
SVD,10,80889,0.016254373276959787,0.16254373276959785,0.10607200245000688,0.08822760643774626,0.2383093525179856,0.015982086563067908,0.0164845034553524,0.15982086563067907,0.16484503455352398,0.10430951342226609,0.10789744599554366,0.08673434306016456,0.08999806834056547
SVD,20,80889,0.010120659174918717,0.2024131834983743,0.1160760906374622,0.0909334829069478,0.29856115107913667,0.0099777936431406,0.010274681971590698,0.199555872862812,0.20549363943181398,0.11415338811153483,0.11799964456443067,0.08925733973665358,0.09273081445435648
Feature-aware BPR,5,80889,0.014931572896191079,0.07465786448095538,0.053284065447349455,0.04617459316676763,0.27473021582733814,0.014604581587113205,0.01526295293550421,0.07302290793556603,0.07631476467752106,0.05194769033722384,0.05453855528931932,0.04491883939719863,0.04726188562927798
Feature-aware BPR,10,80889,0.009771415149155017,0.09771415149155015,0.06072855736135225,0.04924052792706133,0.3893884892086331,0.009561899640247746,0.009954598276650718,0.09561899640247747,0.0995459827665072,0.05931883417768802,0.06190913156459128,0.04794873613792132,0.05036534437648927
Feature-aware BPR,20,80889,0.006350678089727899,0.12701356179455797,0.06810380362330568,0.05124824624282889,0.5598021582733813,0.006255856791405507,0.00646816934317398,0.12511713582811013,0.1293633868634796,0.06671618021602505,0.0694404303260034,0.04994010445465586,0.05244873460026171
NCF,5,80889,0.004386257711184463,0.021931288555922312,0.014025113826277295,0.011561522580326125,0.005845323741007194,0.004203290929545426,0.004592280779834095,0.021016454647727133,0.02296140389917047,0.013421348077795537,0.014671161067159827,0.010989375358000883,0.012193788195345884
NCF,10,80889,0.002814968660757334,0.028149686607573342,0.016070044957994314,0.012424742548430566,0.008992805755395683,0.002706177601404394,0.002912664268318313,0.027061776014043935,0.029126642683183126,0.01544276092215699,0.01686726114059408,0.011823399428218995,0.013162867638329382
NCF,20,80889,0.0017629096663328762,0.03525819332665752,0.017944743597967182,0.012979571428356996,0.015287769784172662,0.0016905728838284562,0.0018235483193017594,0.03381145767656912,0.036470966386035183,0.01705367972478155,0.01865782833750764,0.012221033465683177,0.013633878241531979
LightGCN,5,80889,0.0009098888600427748,0.0045494443002138734,0.0026932430491169983,0.002087016363988511,0.664568345323741,0.0008208161801975548,0.0009964890158117915,0.0041040809009877735,0.004982445079058958,0.00240832943306377,0.0029401998438434453,0.001852605628288972,0.002297799041484833
LightGCN,10,80889,0.0008950537155855556,0.008950537155855556,0.004096599841670598,0.002654696117960591,0.7796762589928058,0.0008269665838371102,0.0009631099407830484,0.0082696658383711,0.009631099407830484,0.003734096968208817,0.004401519009961363,0.0024062935451226813,0.0028876062915533674
LightGCN,20,80889,0.0008357131377566789,0.016714262755133578,0.006038664937537262,0.003176911461382303,0.8943345323741008,0.0007949010372238499,0.00087904412219214,0.015898020744477,0.017580882443842795,0.005699129692453557,0.006405978948007944,0.002948535526335855,0.0034365893204893233
