model,target_item_idx,m,relevant_users,hits,precision,recall,ndcg,target_removed_from_profiles,candidate_users
TF-IDF Reverse,19,100,84,6,0.06,0.07142857142857142,0.07154857269783525,True,80889
TF-IDF Reverse,19,500,84,10,0.02,0.11904761904761904,0.1018341359868866,True,80889
TF-IDF Reverse,19,1000,84,10,0.01,0.11904761904761904,0.1018341359868866,True,80889
User Activity,19,100,84,0,0.0,0.0,0.0,True,80889
User Activity,19,500,84,0,0.0,0.0,0.0,True,80889
User Activity,19,1000,84,0,0.0,0.0,0.0,True,80889
Random Reverse,19,100,84,0,0.0,0.0,0.0,True,80889
Random Reverse,19,500,84,0,0.0,0.0,0.0,True,80889
Random Reverse,19,1000,84,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,20,100,25,2,0.02,0.08,0.044046964744530834,True,80889
TF-IDF Reverse,20,500,25,4,0.008,0.16,0.07815094900885419,True,80889
TF-IDF Reverse,20,1000,25,4,0.004,0.16,0.07815094900885419,True,80889
User Activity,20,100,25,0,0.0,0.0,0.0,True,80889
User Activity,20,500,25,0,0.0,0.0,0.0,True,80889
User Activity,20,1000,25,0,0.0,0.0,0.0,True,80889
Random Reverse,20,100,25,1,0.01,0.04,0.02531391626298007,True,80889
Random Reverse,20,500,25,1,0.002,0.04,0.02531391626298007,True,80889
Random Reverse,20,1000,25,1,0.001,0.04,0.02531391626298007,True,80889
TF-IDF Reverse,21,100,24,1,0.01,0.041666666666666664,0.022046091678658168,True,80889
TF-IDF Reverse,21,500,24,1,0.002,0.041666666666666664,0.022046091678658168,True,80889
TF-IDF Reverse,21,1000,24,1,0.001,0.041666666666666664,0.022046091678658168,True,80889
User Activity,21,100,24,0,0.0,0.0,0.0,True,80889
User Activity,21,500,24,0,0.0,0.0,0.0,True,80889
User Activity,21,1000,24,0,0.0,0.0,0.0,True,80889
Random Reverse,21,100,24,0,0.0,0.0,0.0,True,80889
Random Reverse,21,500,24,0,0.0,0.0,0.0,True,80889
Random Reverse,21,1000,24,1,0.001,0.041666666666666664,0.012706467128129466,True,80889
TF-IDF Reverse,23,100,6,2,0.02,0.3333333333333333,0.1479921968011709,True,80889
TF-IDF Reverse,23,500,6,2,0.004,0.3333333333333333,0.1479921968011709,True,80889
TF-IDF Reverse,23,1000,6,2,0.002,0.3333333333333333,0.1479921968011709,True,80889
User Activity,23,100,6,0,0.0,0.0,0.0,True,80889
User Activity,23,500,6,0,0.0,0.0,0.0,True,80889
User Activity,23,1000,6,0,0.0,0.0,0.0,True,80889
Random Reverse,23,100,6,0,0.0,0.0,0.0,True,80889
Random Reverse,23,500,6,0,0.0,0.0,0.0,True,80889
Random Reverse,23,1000,6,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,24,100,133,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,24,500,133,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,24,1000,133,0,0.0,0.0,0.0,True,80889
User Activity,24,100,133,0,0.0,0.0,0.0,True,80889
User Activity,24,500,133,0,0.0,0.0,0.0,True,80889
User Activity,24,1000,133,0,0.0,0.0,0.0,True,80889
Random Reverse,24,100,133,0,0.0,0.0,0.0,True,80889
Random Reverse,24,500,133,1,0.002,0.007518796992481203,0.005389177053023245,True,80889
Random Reverse,24,1000,133,1,0.001,0.007518796992481203,0.005389177053023245,True,80889
TF-IDF Reverse,25,100,27,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,25,500,27,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,25,1000,27,0,0.0,0.0,0.0,True,80889
User Activity,25,100,27,0,0.0,0.0,0.0,True,80889
User Activity,25,500,27,0,0.0,0.0,0.0,True,80889
User Activity,25,1000,27,0,0.0,0.0,0.0,True,80889
Random Reverse,25,100,27,0,0.0,0.0,0.0,True,80889
Random Reverse,25,500,27,0,0.0,0.0,0.0,True,80889
Random Reverse,25,1000,27,1,0.001,0.037037037037037035,0.012183218127023651,True,80889
TF-IDF Reverse,26,100,13,2,0.02,0.15384615384615385,0.11462205592093959,True,80889
TF-IDF Reverse,26,500,13,3,0.006,0.23076923076923078,0.13669537873307283,True,80889
TF-IDF Reverse,26,1000,13,4,0.004,0.3076923076923077,0.15670710612969257,True,80889
User Activity,26,100,13,0,0.0,0.0,0.0,True,80889
User Activity,26,500,13,0,0.0,0.0,0.0,True,80889
User Activity,26,1000,13,0,0.0,0.0,0.0,True,80889
Random Reverse,26,100,13,0,0.0,0.0,0.0,True,80889
Random Reverse,26,500,13,0,0.0,0.0,0.0,True,80889
Random Reverse,26,1000,13,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,27,100,26,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,27,500,26,1,0.002,0.038461538461538464,0.015867739117780676,True,80889
TF-IDF Reverse,27,1000,26,2,0.002,0.07692307692307693,0.028929607385250054,True,80889
User Activity,27,100,26,0,0.0,0.0,0.0,True,80889
User Activity,27,500,26,0,0.0,0.0,0.0,True,80889
User Activity,27,1000,26,0,0.0,0.0,0.0,True,80889
Random Reverse,27,100,26,0,0.0,0.0,0.0,True,80889
Random Reverse,27,500,26,0,0.0,0.0,0.0,True,80889
Random Reverse,27,1000,26,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,28,100,42,20,0.2,0.47619047619047616,0.31363632071929787,True,80889
TF-IDF Reverse,28,500,42,26,0.052,0.6190476190476191,0.3853245410602786,True,80889
TF-IDF Reverse,28,1000,42,26,0.026,0.6190476190476191,0.3853245410602786,True,80889
User Activity,28,100,42,0,0.0,0.0,0.0,True,80889
User Activity,28,500,42,0,0.0,0.0,0.0,True,80889
User Activity,28,1000,42,0,0.0,0.0,0.0,True,80889
Random Reverse,28,100,42,1,0.01,0.023809523809523808,0.016508519975805852,True,80889
Random Reverse,28,500,42,1,0.002,0.023809523809523808,0.016508519975805852,True,80889
Random Reverse,28,1000,42,2,0.002,0.047619047619047616,0.025644367681850414,True,80889
TF-IDF Reverse,29,100,18,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,29,500,18,1,0.002,0.05555555555555555,0.016997166136623682,True,80889
TF-IDF Reverse,29,1000,18,1,0.001,0.05555555555555555,0.016997166136623682,True,80889
User Activity,29,100,18,0,0.0,0.0,0.0,True,80889
User Activity,29,500,18,0,0.0,0.0,0.0,True,80889
User Activity,29,1000,18,0,0.0,0.0,0.0,True,80889
Random Reverse,29,100,18,0,0.0,0.0,0.0,True,80889
Random Reverse,29,500,18,0,0.0,0.0,0.0,True,80889
Random Reverse,29,1000,18,0,0.0,0.0,0.0,True,80889
TF-IDF Reverse,30,100,12,1,0.01,0.08333333333333333,0.029819142596147673,True,80889
TF-IDF Reverse,30,500,12,2,0.004,0.16666666666666666,0.054969521663010924,True,80889
TF-IDF Reverse,30,1000,12,3,0.003,0.25,0.07537271719311452,True,80889
User Activity,30,100,12,0,0.0,0.0,0.0,True,80889
User Activity,30,500,12,0,0.0,0.0,0.0,True,80889
User Activity,30,1000,12,0,0.0,0.0,0.0,True,80889
Random Reverse,30,100,12,0,0.0,0.0,0.0,True,80889
Random Reverse,30,500,12,0,0.0,0.0,0.0,True,80889
